ID,K=3,K=4,K=5,K=6,K=7
APP-002,1,2,3,4,4
APP-004,1,2,3,4,4
APP-005,1,2,3,4,4
APP-006,3,4,5,6,7
APP-008,1,2,3,4,4
APP-009,3,4,5,6,6
APP-010,3,4,5,6,6
APP-011,3,4,5,6,7
APP-013,1,2,3,3,3
APP-014,2,3,4,5,5
APP-015,3,4,5,6,7
APP-017,3,4,5,6,6
APP-018,2,3,4,5,5
APP-019,3,4,5,6,7
APP-021,1,2,3,3,3
APP-022,3,4,5,6,7
APP-026,2,3,4,5,5
APP-028,1,1,1,1,1
APP-029,2,3,4,5,5
APP-030,2,3,4,5,5
APP-031,2,3,4,5,5
APP-035,3,4,5,6,6
APP-036,1,2,3,3,3
APP-037,3,4,5,6,7
APP-039,1,2,3,3,3
APP-040,1,1,1,1,1
APP-041,1,2,3,4,4
APP-043,3,4,5,6,6
APP-044,1,2,3,3,3
APP-045,3,4,5,6,7
B10K-Callaeas_wilsoni,1,2,3,4,4
B10K-Casuarius_casuarius,3,4,5,6,7
B10K-Crypturellus_soui,3,4,5,6,6
B10K-Crypturellus_undulatus,1,2,2,2,2
B10K-CU-030-46,3,4,5,6,7
B10K-CU-031-01,2,3,4,5,5
B10K-CU-031-02,3,4,5,6,6
B10K-CU-031-03,3,4,5,6,7
B10K-CU-031-08,1,1,1,1,1
B10K-CU-031-10,2,3,4,5,5
B10K-CU-031-11,2,3,4,5,5
B10K-CU-031-17,3,4,5,6,7
B10K-CU-031-19,3,4,5,6,7
B10K-CU-031-20,3,4,5,6,7
B10K-CU-031-22,1,2,2,2,2
B10K-CU-031-23,2,3,4,5,5
B10K-CU-031-38,3,4,5,6,6
B10K-CU-031-40,1,2,3,3,3
B10K-Dromaius_novaehollandiae,3,4,5,6,7
B10K-DU-001-01,1,2,3,4,4
B10K-DU-001-02,1,2,3,4,4
B10K-DU-001-03,1,2,3,4,4
B10K-DU-001-06,3,4,5,6,7
B10K-DU-001-07,2,3,4,5,5
B10K-DU-001-08,2,3,4,5,5
B10K-DU-001-09,1,2,3,4,4
B10K-DU-001-15,3,4,5,6,6
B10K-DU-001-16,3,4,5,6,7
B10K-DU-001-17,1,1,1,1,1
B10K-DU-001-18,1,2,3,3,3
B10K-DU-001-19,1,2,3,4,4
B10K-DU-001-20,1,1,1,1,1
B10K-DU-001-22,1,2,2,2,2
B10K-DU-001-23,3,4,5,6,6
B10K-DU-001-25,3,4,5,6,7
B10K-DU-001-27,1,2,3,4,4
B10K-DU-001-28,1,1,1,1,1
B10K-DU-001-29,1,1,1,1,1
B10K-DU-001-30,2,3,4,5,5
B10K-DU-001-32,3,4,5,6,6
B10K-DU-001-34,1,2,3,4,4
B10K-DU-001-35,1,2,3,4,4
B10K-DU-001-36,1,1,1,1,1
B10K-DU-001-37,1,1,1,1,1
B10K-DU-001-40,3,4,5,6,6
B10K-DU-001-44,3,4,5,6,6
B10K-DU-001-45,1,1,1,1,1
B10K-DU-001-46,2,3,4,5,5
B10K-DU-001-47,1,1,1,1,1
B10K-DU-001-53,1,2,2,2,2
B10K-DU-001-55,2,3,4,5,5
B10K-DU-001-56,2,3,4,5,5
B10K-DU-001-57,1,2,3,4,4
B10K-DU-001-60,1,2,2,2,2
B10K-DU-001-61,2,3,4,5,5
B10K-DU-001-62,1,2,3,4,4
B10K-DU-001-63,3,4,5,6,6
B10K-DU-001-64,2,3,4,5,5
B10K-DU-001-66,1,1,1,1,1
B10K-DU-001-67,1,2,3,3,3
B10K-DU-001-68,1,1,1,1,1
B10K-DU-001-69,1,2,3,4,4
B10K-DU-001-70,1,1,1,1,1
B10K-DU-001-71,1,1,1,1,1
B10K-DU-001-72,3,4,5,6,7
B10K-DU-001-74,1,1,1,1,1
B10K-DU-001-75,1,2,2,2,2
B10K-DU-001-78,3,4,5,6,7
B10K-DU-001-79,1,2,3,3,3
B10K-DU-002-01,1,2,3,3,3
B10K-DU-002-05,1,2,3,3,3
B10K-DU-002-07,1,2,3,3,3
B10K-DU-002-08,3,4,5,6,7
B10K-DU-002-09,1,2,2,2,2
B10K-DU-002-10,3,4,5,6,6
B10K-DU-002-11,1,2,3,4,4
B10K-DU-002-13,1,2,3,4,4
B10K-DU-002-14,1,1,1,1,1
B10K-DU-002-16,1,2,3,3,3
B10K-DU-002-18,1,1,1,1,1
B10K-DU-002-19,1,2,3,3,3
